排名,SKU组,包含SKU,类别,型号,颜色,状态,PackSize,2024月销_单只,2025月销_单只,2026_1-5月销_单只,全期月销_单只,2024合计_单只,2025合计_单只,2026_1-5合计_单只,有销售月份_29,排除0销量月份,最高单月销量_单只,同型号最佳颜色,同型号最佳SKU组,同型号最佳全期月销_单只,同型号最佳2024月销_单只,同型号最佳2025月销_单只,同型号最佳2026_1-5月销_单只,对比说明
165,LPS-1P-G-BKWP,LPS-1P-G-BKWP2P,Sensor Switch,LPS-1P-G,Black,Active,2,10.0,10.8,6.0,9.9,40.0,130.0,18.0,19,10,22.0,White,LPS-1P-G-WWP,15.0,29.7,6.4,2.0,候选 Black 全期月销 9.9；同型号最佳 White 月销 15.0
166,LWP-34M-I,LWP-34M-I,Wall Plate,LWP-34M,Ivory,Active,1,6.1,13.9,9.2,10.0,67.0,167.0,46.0,28,1,27.0,Black,LWP-34M-BK,75.3,85.8,85.4,29.8,候选 Ivory 全期月销 10.0；同型号最佳 Black 月销 75.3
167,LMWP-41M-PB,LMWP-41M-PB,Metal Wall Plate,LMWP-41M,Polished Brass,Inactive,1,3.2,11.6,13.8,10.2,16.0,139.0,69.0,22,7,34.0,Brushed Brass,LMWP-41M-BB,42.3,23.6,42.0,61.8,候选 Polished Brass 全期月销 10.2；同型号最佳 Brushed Brass 月销 42.3
168,LMWP-41M-HAC,LMWP-41M-HAC,Metal Wall Plate,LMWP-41M,Hammered Antique Copper,Active,1,9.9,11.2,8.8,10.2,119.0,123.0,44.0,28,1,24.0,Brushed Brass,LMWP-41M-BB,42.3,23.6,42.0,61.8,候选 Hammered Antique Copper 全期月销 10.2；同型号最佳 Brushed Brass 月销 42.3
169,LMWP-01M-AC,LMWP-01M-AC,Metal Wall Plate,LMWP-01M,Antique Copper,Active,1,11.4,9.9,9.0,10.4,137.0,119.0,45.0,29,0,16.0,Stainless Steel,LMWP-01M-SS-,269.8,162.5,220.4,646.0,候选 Antique Copper 全期月销 10.4；同型号最佳 Stainless Steel 月销 269.8
170,LMWP-41M-SS,LMWP-41M-SS,Metal Wall Plate,LMWP-41M,Stainless Steel,Active,1,7.2,9.8,14.2,10.4,29.0,108.0,71.0,20,9,46.0,Brushed Brass,LMWP-41M-BB,42.3,23.6,42.0,61.8,候选 Stainless Steel 全期月销 10.4；同型号最佳 Brushed Brass 月销 42.3
171,LU-PD36C2-WWP,"LU-PD36C2-WWP, LU-PD36C2-WWP2P",USB OUTLET,LU-PD36C2,White,Active,"1, 2",10.5,11.1,8.8,10.4,126.0,133.0,44.0,29,0,37.0,,,,,,,同型号没有其它颜色/版本可对比
172,LSWP-33M-BGY,LSWP-33M-BGY,Screwless Wall Plate,LSWP-33M,Brushed Gray,Active,1,9.0,12.0,10.6,10.5,108.0,144.0,53.0,29,0,21.0,White,LSWP-33M-W,1279.6,1391.2,1214.6,1167.6,候选 Brushed Gray 全期月销 10.5；同型号最佳 White 月销 1279.6
173,LWE8-315-NK,LWE8-315-NK,Outlet Extender,LWE8,Nickel,Active,1,6.8,14.8,9.2,10.5,82.0,177.0,46.0,29,0,21.0,White,LWE8-3RAC2-W,119.2,152.5,110.8,72.8,候选 Nickel 全期月销 10.5；同型号最佳 White 月销 119.2
174,LWP-11O-ABL,"LWP-11O-ABL, LWP-11O-ABL5P",Wall Plate,LWP-11O,Acrylic Blue,"Active, Inactive","1, 5",11.2,12.7,4.0,10.5,123.0,152.0,20.0,28,1,23.0,Acrylic Silver,LWP-11O-ASV,70.6,98.0,56.5,38.8,候选 Acrylic Blue 全期月销 10.5；同型号最佳 Acrylic Silver 月销 70.6
175,LMWP-13M-HAC,LMWP-13M-HAC,Metal Wall Plate,LMWP-13M,Hammered Antique Copper,Inactive,1,4.6,11.2,15.6,10.7,23.0,134.0,78.0,22,7,31.0,Brushed Brass,LMWP-13M-BB,173.2,53.5,178.2,304.6,候选 Hammered Antique Copper 全期月销 10.7；同型号最佳 Brushed Brass 月销 173.2
176,LMWP-32M-HB,LMWP-32M-HB,Metal Wall Plate,LMWP-32M,Hammered Brass,Active,1,13.1,8.4,11.0,10.8,157.0,101.0,55.0,29,0,23.0,Brushed Brass,LMWP-32M-BB,374.5,343.8,358.3,487.2,候选 Hammered Brass 全期月销 10.8；同型号最佳 Brushed Brass 月销 374.5
177,LSWP-33M-AGD,LSWP-33M-AGD,Screwless Wall Plate,LSWP-33M,Gold,Active,1,13.7,10.2,6.0,10.9,164.0,122.0,30.0,29,0,30.0,White,LSWP-33M-W,1279.6,1391.2,1214.6,1167.6,候选 Gold 全期月销 10.9；同型号最佳 White 月销 1279.6
178,LMWP-02M-AB,LMWP-02M-AB,Metal Wall Plate,LMWP-02M,Antique Brass,Active,1,7.2,10.1,16.0,11.0,29.0,121.0,80.0,21,8,38.0,Stainless Steel,LMWP-02M-SS,7.6,10.5,4.8,10.8,候选 Antique Brass 全期月销 11.0；同型号最佳 Stainless Steel 月销 7.6
179,LMWP-33M-AC,LMWP-33M-AC,Metal Wall Plate,LMWP-33M,Antique Copper,Inactive,1,10.3,10.4,14.0,11.0,124.0,125.0,70.0,29,0,29.0,Brushed Brass,LMWP-33M-BB,105.1,99.9,106.2,115.2,候选 Antique Copper 全期月销 11.0；同型号最佳 Brushed Brass 月销 105.1
180,LWP-41O-AGD,"LWP-41O-AGD, LWP-41O-AGD5P",Wall Plate,LWP-41O,Acrylic Gold,"Active, Inactive","1, 5",9.2,16.0,4.0,11.0,101.0,176.0,20.0,27,2,31.0,Acrylic Black,LWP-41O-ABK,25.5,20.1,35.2,5.0,候选 Acrylic Gold 全期月销 11.0；同型号最佳 Acrylic Black 月销 25.5
181,LMWP-33M-HAB,LMWP-33M-HAB,Metal Wall Plate,LMWP-33M,Hammered Antique Brass,Active,1,9.8,11.8,12.2,11.0,118.0,141.0,61.0,29,0,24.0,Brushed Brass,LMWP-33M-BB,105.1,99.9,106.2,115.2,候选 Hammered Antique Brass 全期月销 11.0；同型号最佳 Brushed Brass 月销 105.1
182,LMWP-34M-PB,LMWP-34M-PB,Metal Wall Plate,LMWP-34M,Polished Brass,Active,1,13.1,10.2,8.0,11.0,157.0,123.0,40.0,29,0,24.0,Brushed Brass,LMWP-34M-BB,38.3,38.0,34.5,48.4,候选 Polished Brass 全期月销 11.0；同型号最佳 Brushed Brass 月销 38.3
183,LMWP-1121M-AB,LMWP-1121M-AB,Metal Wall Plate,LMWP-1121M,Antique Brass,Inactive,1,8.0,14.9,10.4,11.4,88.0,179.0,52.0,28,1,32.0,Brushed Brass,LMWP-1121M-BB,50.1,36.7,51.8,78.0,候选 Antique Brass 全期月销 11.4；同型号最佳 Brushed Brass 月销 50.1
184,LU-PD30AC-GYWP,LU-PD30AC-GYWP2P,USB OUTLET,LU-PD30AC,Gray,Active,2,8.8,15.0,9.2,11.4,106.0,180.0,46.0,29,0,32.0,Gold,LU-PD30AC-GDWP,200.0,78.5,213.3,289.2,候选 Gray 全期月销 11.4；同型号最佳 Gold 月销 200.0
185,LU-PD30AC-LAWP,LU-PD30AC-LAWP2P,USB OUTLET,LU-PD30AC,Light Almond,Active,2,6.0,15.2,16.0,11.5,72.0,182.0,80.0,29,0,42.0,Gold,LU-PD30AC-GDWP,200.0,78.5,213.3,289.2,候选 Light Almond 全期月销 11.5；同型号最佳 Gold 月销 200.0
186,LMWP-11M-AC,LMWP-11M-AC,Metal Wall Plate,LMWP-11M,Antique Copper,Active,1,11.2,11.2,14.0,11.7,135.0,135.0,70.0,29,0,37.0,Brushed Brass,LMWP-11M-BB,497.6,406.4,496.4,719.0,候选 Antique Copper 全期月销 11.7；同型号最佳 Brushed Brass 月销 497.6
187,LMWP-1121M-PC,LMWP-1121M-PC,Metal Wall Plate,LMWP-1121M,Polished Chrome,Active,1,8.8,13.0,16.6,11.9,105.0,156.0,83.0,29,0,25.0,Brushed Brass,LMWP-1121M-BB,50.1,36.7,51.8,78.0,候选 Polished Chrome 全期月销 11.9；同型号最佳 Brushed Brass 月销 50.1
188,LWP-33O-AGD,"LWP-33O-AGD, LWP-33O-AGD5P",Wall Plate,LWP-33O,Acrylic Gold,Active,"1, 5",10.3,16.5,4.6,11.9,124.0,198.0,23.0,29,0,37.0,Acrylic Silver,LWP-33O-ASV,38.7,42.8,34.3,0.0,候选 Acrylic Gold 全期月销 11.9；同型号最佳 Acrylic Silver 月销 38.7
189,LWP-31O-ABL,"LWP-31O-ABL, LWP-31O-ABL5P",Wall Plate,LWP-31O,Acrylic Blue,"Active, Inactive","1, 5",11.9,13.4,8.4,11.9,143.0,161.0,42.0,29,0,39.0,Acrylic Silver,LWP-31O-ASV,411.9,532.8,333.9,309.2,候选 Acrylic Blue 全期月销 11.9；同型号最佳 Acrylic Silver 月销 411.9
190,LSWP-33M-BLA,LSWP-33M-BLA,Screwless Wall Plate,LSWP-33M,Light Almond,Active,1,10.5,12.6,14.0,12.0,126.0,151.0,70.0,29,0,21.0,White,LSWP-33M-W,1279.6,1391.2,1214.6,1167.6,候选 Light Almond 全期月销 12.0；同型号最佳 White 月销 1279.6
191,LMWP-41M-AC,LMWP-41M-AC,Metal Wall Plate,LMWP-41M,Antique Copper,Active,1,10.7,14.3,9.2,12.0,128.0,172.0,37.0,28,1,27.0,Brushed Brass,LMWP-41M-BB,42.3,23.6,42.0,61.8,候选 Antique Copper 全期月销 12.0；同型号最佳 Brushed Brass 月销 42.3
192,LS15-4W-BR,LS15-4W-BR,Light Switch,LS15-4W,Brown,Active,1,11.2,14.2,9.2,12.1,135.0,171.0,46.0,29,0,37.0,Black,LS15-4W-BK,200.6,246.8,175.7,149.2,候选 Brown 全期月销 12.1；同型号最佳 Black 月销 200.6
193,LSWP-34M-BBK,LSWP-34M-BBK,Screwless Wall Plate,LSWP-34M,Brushed Black,Active,1,13.7,11.9,9.0,12.1,164.0,143.0,45.0,29,0,27.0,White,LSWP-34M-W,654.7,740.4,614.6,545.0,候选 Brushed Black 全期月销 12.1；同型号最佳 White 月销 654.7
194,LWP-21O-ARD,"LWP-21O-ARD, LWP-21O-ARD5P",Wall Plate,LWP-21O,Acrylic Red,Inactive,"1, 5",10.3,10.8,19.6,12.2,124.0,119.0,98.0,28,1,56.0,Acrylic Silver,LWP-21O-ASV,227.5,261.3,214.8,176.8,候选 Acrylic Red 全期月销 12.2；同型号最佳 Acrylic Silver 月销 227.5
195,LMWP-12M-AC,LMWP-12M-AC,Metal Wall Plate,LMWP-12M,Antique Copper,Inactive,1,10.1,13.3,17.0,12.3,121.0,160.0,51.0,27,2,30.0,Brushed Brass,LMWP-12M-BB,535.6,416.8,609.2,644.2,候选 Antique Copper 全期月销 12.3；同型号最佳 Brushed Brass 月销 535.6
196,LMWP-11M-HC,LMWP-11M-HC,Metal Wall Plate,LMWP-11M,Hammered Chrome,Active,1,10.8,15.0,9.6,12.3,130.0,180.0,48.0,29,0,34.0,Brushed Brass,LMWP-11M-BB,497.6,406.4,496.4,719.0,候选 Hammered Chrome 全期月销 12.3；同型号最佳 Brushed Brass 月销 497.6
197,LMWP-34M-SS,LMWP-34M-SS,Metal Wall Plate,LMWP-34M,Stainless Steel,Inactive,1,10.6,12.8,15.4,12.4,117.0,153.0,77.0,28,1,37.0,Brushed Brass,LMWP-34M-BB,38.3,38.0,34.5,48.4,候选 Stainless Steel 全期月销 12.4；同型号最佳 Brushed Brass 月销 38.3
198,LWE8-315-GD,LWE8-315-GD,Outlet Extender,LWE8,Gold,Active,1,7.2,17.9,11.6,12.4,87.0,215.0,58.0,29,0,28.0,White,LWE8-3RAC2-W,119.2,152.5,110.8,72.8,候选 Gold 全期月销 12.4；同型号最佳 White 月销 119.2
199,LHS-FL-G-BKWP,LHS-FL-G-BKWP,Humidity Sensor,LHS-FL,Black,Active,1,11.9,12.0,14.2,12.4,83.0,144.0,71.0,24,5,28.0,White,LHS-FL-G-WWP,23.6,51.3,10.9,15.2,候选 Black 全期月销 12.4；同型号最佳 White 月销 23.6
200,LWP-31M-I,LWP-31M-I,Wall Plate,LWP-31M,Ivory,Active,1,5.0,22.4,7.6,12.7,60.0,269.0,38.0,29,0,37.0,White,LWP-31M-W,720.2,577.8,829.7,799.0,候选 Ivory 全期月销 12.7；同型号最佳 White 月销 720.2
201,LWP-21O-ABL,"LWP-21O-ABL, LWP-21O-ABL5P",Wall Plate,LWP-21O,Acrylic Blue,"Active, Inactive","1, 5",14.7,10.4,14.5,12.8,176.0,125.0,58.0,28,1,38.0,Acrylic Silver,LWP-21O-ASV,227.5,261.3,214.8,176.8,候选 Acrylic Blue 全期月销 12.8；同型号最佳 Acrylic Silver 月销 227.5
202,LSWP-34M-GY,LSWP-34M-GY,Screwless Wall Plate,LSWP-34M,Gray,Active,1,16.6,10.2,11.0,13.0,199.0,123.0,55.0,29,0,24.0,White,LSWP-34M-W,654.7,740.4,614.6,545.0,候选 Gray 全期月销 13.0；同型号最佳 White 月销 654.7
203,LWF-F-WWP,LWF-F-WWP,WIFI,LWF-F,White,Active,1,16.4,11.7,8.4,13.1,197.0,140.0,42.0,29,0,42.0,,,,,,,同型号没有其它颜色/版本可对比
204,LR15-FCN6,LR15-FCN6,Receptacle,LR15-FCN6,White,Active,1,15.7,11.8,11.0,13.3,188.0,142.0,55.0,29,0,43.0,,,,,,,同型号没有其它颜色/版本可对比
205,LMWP-1131M-PC,LMWP-1131M-PC,Metal Wall Plate,LMWP-1131M,Polished Chrome,Active,1,14.6,15.8,5.2,13.4,175.0,189.0,26.0,29,0,36.0,Brushed Brass,LMWP-1131M-BB,44.2,37.8,46.1,55.6,候选 Polished Chrome 全期月销 13.4；同型号最佳 Brushed Brass 月销 44.2
206,LMWP-32M-HAC,LMWP-32M-HAC,Metal Wall Plate,LMWP-32M,Hammered Antique Copper,Active,1,10.2,17.2,13.2,13.8,112.0,207.0,66.0,28,1,28.0,Brushed Brass,LMWP-32M-BB,374.5,343.8,358.3,487.2,候选 Hammered Antique Copper 全期月销 13.8；同型号最佳 Brushed Brass 月销 374.5
207,LMWP-22M-PB,LMWP-22M-PB,Metal Wall Plate,LMWP-22M,Polished Brass,Active,1,17.7,11.8,8.0,13.8,212.0,142.0,32.0,28,1,38.0,Stainless Steel,LMWP-22M-SS,39.4,41.3,42.1,25.8,候选 Polished Brass 全期月销 13.8；同型号最佳 Stainless Steel 月销 39.4
208,LU-PD30AC-BKWP,LU-PD30AC-BKWP2P,USB OUTLET,LU-PD30AC,Black,Active,2,16.8,12.5,11.2,14.1,202.0,138.0,56.0,28,1,54.0,Gold,LU-PD30AC-GDWP,200.0,78.5,213.3,289.2,候选 Black 全期月销 14.1；同型号最佳 Gold 月销 200.0
209,LCS1-1PTR-BR,LCS1-1PTR-BR,Combination Switch,LCS1-1PTR,Brown,Active,1,16.6,14.8,6.2,14.4,199.0,178.0,25.0,28,1,40.0,White,LCS1-1PTR-WSWP,105.3,180.1,66.2,19.4,候选 Brown 全期月销 14.4；同型号最佳 White 月销 105.3
210,LS15-3W-I,"LS15-3W-I, LS15-3W-I5P",Light Switch,LS15-3W,Ivory,"Active, Inactive","1, 5",15.8,14.1,12.8,14.5,174.0,169.0,64.0,28,1,39.0,Black,LS15-3W-BK,583.7,687.4,519.3,489.4,候选 Ivory 全期月销 14.5；同型号最佳 Black 月销 583.7
211,LCS3-1P-BK,LCS3-1P-BK,Combination Switch,LCS3-1P,Black,Active,1,19.2,10.5,0.0,14.8,230.0,126.0,0.0,24,5,31.0,White,LCS3-1P-WSWP,56.7,66.0,41.6,70.6,候选 Black 全期月销 14.8；同型号最佳 White 月销 56.7
212,LTS-2H-LAWP,LTS-2H-LAWP2P,Timer,LTS-2H,Light Almond,Active,2,13.8,18.3,8.8,14.9,138.0,220.0,44.0,27,2,50.0,White,LTS-2H-WWP,174.3,180.0,222.9,45.2,候选 Light Almond 全期月销 14.9；同型号最佳 White 月销 174.3
213,LSMWP-32M-PC,LSMWP-32M-PC,Metal Wall Plate,LSMWP-32M,Polished Chrome,Active,1,13.1,17.3,13.8,15.0,157.0,208.0,69.0,29,0,35.0,Brushed Brass,LSMWP-32M-BB,61.8,40.9,79.0,66.4,候选 Polished Chrome 全期月销 15.0；同型号最佳 Brushed Brass 月销 61.8
214,LPS-1P-LAWP,LPS-1P-LAWP2P,Sensor Switch,LPS-1P,Light Almond,Active,2,2.0,14.3,24.4,15.0,6.0,172.0,122.0,20,9,56.0,White,LPS-1P-WWP,35.0,31.9,49.2,8.4,候选 Light Almond 全期月销 15.0；同型号最佳 White 月销 35.0
215,LPS-1P-G-WWP,LPS-1P-G-WWP2P,Sensor Switch,LPS-1P-G,White,Active,2,29.7,6.4,2.0,15.0,208.0,58.0,4.0,18,11,64.0,Gold,LPS-1P-G-GDSWP,10.5,0.0,5.0,11.6,候选 White 全期月销 15.0；同型号最佳 Gold 月销 10.5
216,LWE8-315-SV,LWE8-315-SV,Outlet Extender,LWE8,Silver,Active,1,7.8,11.7,41.6,15.2,94.0,140.0,208.0,29,0,82.0,White,LWE8-3RAC2-W,119.2,152.5,110.8,72.8,候选 Silver 全期月销 15.2；同型号最佳 White 月销 119.2
217,LMWP-34M-AB,LMWP-34M-AB,Metal Wall Plate,LMWP-34M,Antique Brass,Active,1,15.6,15.1,0.0,15.4,187.0,136.0,0.0,21,8,45.0,Brushed Brass,LMWP-34M-BB,38.3,38.0,34.5,48.4,候选 Antique Brass 全期月销 15.4；同型号最佳 Brushed Brass 月销 38.3
218,LMWP-1131M-AB,LMWP-1131M-AB,Metal Wall Plate,LMWP-1131M,Antique Brass,Active,1,11.4,20.9,0.0,15.5,137.0,188.0,0.0,21,8,30.0,Brushed Brass,LMWP-1131M-BB,44.2,37.8,46.1,55.6,候选 Antique Brass 全期月销 15.5；同型号最佳 Brushed Brass 月销 44.2
219,LSWP-34M-BR,LSWP-34M-BR,Screwless Wall Plate,LSWP-34M,Brown,Active,1,15.1,17.8,12.2,15.8,181.0,213.0,49.0,28,1,39.0,White,LSWP-34M-W,654.7,740.4,614.6,545.0,候选 Brown 全期月销 15.8；同型号最佳 White 月销 654.7
220,LS15-4W-WSWP,LS15-4W-WSWP,Light Switch,LS15-4W,White,Active,1,14.8,16.9,0.0,15.8,178.0,186.0,0.0,23,6,59.0,Black,LS15-4W-BK,200.6,246.8,175.7,149.2,候选 White 全期月销 15.8；同型号最佳 Black 月销 200.6
221,LSWP-32M-SV,LSWP-32M-SV,Screwless Wall Plate,LSWP-32M,Silver,Active,1,18.3,14.0,15.0,16.0,220.0,168.0,75.0,29,0,41.0,White,LSWP-32M-W,3751.2,3808.0,3425.7,4396.0,候选 Silver 全期月销 16.0；同型号最佳 White 月销 3751.2
222,LWP-33M-LA,LWP-33M-LA,Wall Plate,LWP-33M,Light Almond,Active,1,8.7,19.1,26.0,16.0,104.0,229.0,130.0,29,0,43.0,White,LWP-33M-W,147.9,188.1,152.4,40.8,候选 Light Almond 全期月销 16.0；同型号最佳 White 月销 147.9
223,LCS2-1P-BR,LCS2-1P-BR,Combination Switch,LCS2-1P,Brown,Active,1,9.9,19.9,21.8,16.1,119.0,239.0,109.0,29,0,45.0,Black,LCS2-1P-BK,235.8,183.2,264.5,293.2,候选 Brown 全期月销 16.1；同型号最佳 Black 月销 235.8
224,LWP-34O-ASV,"LWP-34O-ASV, LWP-34O-ASV5P",Wall Plate,LWP-34O,Acrylic Silver,Active,"1, 5",20.6,13.8,11.6,16.2,247.0,165.0,58.0,29,0,32.0,Acrylic Gold,LWP-34O-AGD,4.7,4.6,5.2,3.8,候选 Acrylic Silver 全期月销 16.2；同型号最佳 Acrylic Gold 月销 4.7
225,LMWP-01M-PC,LMWP-01M-PC,Metal Wall Plate,LMWP-01M,Polished Chrome,Active,1,19.2,17.3,7.0,16.3,230.0,208.0,35.0,29,0,53.0,Stainless Steel,LMWP-01M-SS-,269.8,162.5,220.4,646.0,候选 Polished Chrome 全期月销 16.3；同型号最佳 Stainless Steel 月销 269.8
226,LU-6A3C2-BKWP,LU-6A3C2-BKWP,USB OUTLET,LU-6A3C2,Black,Active,1,17.5,14.4,18.0,16.3,210.0,173.0,90.0,29,0,42.0,White,LU-6A3C2-WWP,71.4,55.6,81.2,79.6,候选 Black 全期月销 16.3；同型号最佳 White 月销 71.4
227,LWP-34M-LA,LWP-34M-LA,Wall Plate,LWP-34M,Light Almond,Active,1,14.7,18.5,15.4,16.3,176.0,204.0,77.0,28,1,42.0,Black,LWP-34M-BK,75.3,85.8,85.4,29.8,候选 Light Almond 全期月销 16.3；同型号最佳 Black 月销 75.3
228,LMWP-12M-HAC,LMWP-12M-HAC,Metal Wall Plate,LMWP-12M,Hammered Antique Copper,Active,1,10.2,22.2,17.5,16.4,123.0,267.0,70.0,28,1,63.0,Brushed Brass,LMWP-12M-BB,535.6,416.8,609.2,644.2,候选 Hammered Antique Copper 全期月销 16.4；同型号最佳 Brushed Brass 月销 535.6
229,LDS-1P-BKWP,LDS-1P-BKWP2P,Dimmer,LDS-1P,Black,Active,2,27.2,10.7,4.8,16.7,326.0,118.0,24.0,28,1,44.0,White,LDS-1P-WWP,45.9,62.7,39.0,22.0,候选 Black 全期月销 16.7；同型号最佳 White 月销 45.9
230,LSWP-33M-NK,LSWP-33M-NK,Screwless Wall Plate,LSWP-33M,Nickel,Active,1,17.3,14.2,21.4,16.8,208.0,171.0,107.0,29,0,33.0,White,LSWP-33M-W,1279.6,1391.2,1214.6,1167.6,候选 Nickel 全期月销 16.8；同型号最佳 White 月销 1279.6
231,LMWP-13M-PC,LMWP-13M-PC,Metal Wall Plate,LMWP-13M,Polished Chrome,Active,1,20.8,14.9,11.8,16.8,249.0,179.0,59.0,29,0,31.0,Brushed Brass,LMWP-13M-BB,173.2,53.5,178.2,304.6,候选 Polished Chrome 全期月销 16.8；同型号最佳 Brushed Brass 月销 173.2
232,LDDS-1P-LAWP,LDDS-1P-LAWP2P,Dimmer,LDDS-1P,Light Almond,Active,2,17.0,17.0,16.4,16.9,204.0,204.0,82.0,29,0,42.0,White,LDDS-1P-WWP,319.0,341.1,269.6,384.8,候选 Light Almond 全期月销 16.9；同型号最佳 White 月销 319.0
233,LSWP-34M-BW,LSWP-34M-BW,Screwless Wall Plate,LSWP-34M,Brushed White,Active,1,19.9,14.1,16.8,17.0,239.0,169.0,84.0,29,0,36.0,White,LSWP-34M-W,654.7,740.4,614.6,545.0,候选 Brushed White 全期月销 17.0；同型号最佳 White 月销 654.7
234,LU-PD30AC-BRWP,LU-PD30AC-BRWP2P,USB OUTLET,LU-PD30AC,Brown,Active,2,17.1,19.2,12.0,17.1,188.0,230.0,60.0,28,1,44.0,Gold,LU-PD30AC-GDWP,200.0,78.5,213.3,289.2,候选 Brown 全期月销 17.1；同型号最佳 Gold 月销 200.0
235,LCS3-1P-BR,"LCS3-1P-BR, LCS3-1P-BR10P",Combination Switch,LCS3-1P,Brown,"Active, Inactive","1, 10",9.3,18.9,32.2,17.2,112.0,227.0,161.0,29,0,53.0,Black,LCS3-1P-BKSWP,63.1,52.7,75.8,57.6,候选 Brown 全期月销 17.2；同型号最佳 Black 月销 63.1
236,LSMWP-31M-BRG,LSMWP-31M-BRG,Metal Wall Plate,LSMWP-31M,Brushed Rose Gold,Active,1,14.3,21.8,13.6,17.3,172.0,262.0,68.0,29,0,46.0,Brushed Brass,LSMWP-31M-BB,171.2,116.7,234.3,118.0,候选 Brushed Rose Gold 全期月销 17.3；同型号最佳 Brushed Brass 月销 171.2
237,LMWP-31M-HC,LMWP-31M-HC,Metal Wall Plate,LMWP-31M,Hammered Chrome,Active,1,14.2,21.0,17.4,17.6,170.0,252.0,87.0,29,0,39.0,Brushed Brass,LMWP-31M-BB,1417.5,1299.3,1391.8,1762.6,候选 Hammered Chrome 全期月销 17.6；同型号最佳 Brushed Brass 月销 1417.5
238,LWP-31O-ARG,"LWP-31O-ARG, LWP-31O-ARG5P",Wall Plate,LWP-31O,Rose Gold,Active,"1, 5",19.6,16.9,14.6,17.6,235.0,203.0,73.0,29,0,41.0,Acrylic Silver,LWP-31O-ASV,411.9,532.8,333.9,309.2,候选 Rose Gold 全期月销 17.6；同型号最佳 Acrylic Silver 月销 411.9
239,LR15-4TR-W,LR15-4TR-W,Receptacle,LR15-4TR,White,Active,1,16.5,18.8,18.0,17.7,198.0,226.0,90.0,29,0,88.0,Black,LR15-4TR-BKWP,3.8,4.2,3.8,2.7,候选 White 全期月销 17.7；同型号最佳 Black 月销 3.8
240,LSWP-34M-ASV,LSWP-34M-ASV,Screwless Wall Plate,LSWP-34M,Silver,Active,1,16.4,18.8,20.0,18.0,197.0,226.0,100.0,29,0,29.0,White,LSWP-34M-W,654.7,740.4,614.6,545.0,候选 Silver 全期月销 18.0；同型号最佳 White 月销 654.7
241,LSWP-32M-SG,LSWP-32M-SG,Screwless Wall Plate,LSWP-32M,Space Gray,Active,1,16.7,15.3,28.4,18.1,200.0,184.0,142.0,29,0,49.0,White,LSWP-32M-W,3751.2,3808.0,3425.7,4396.0,候选 Space Gray 全期月销 18.1；同型号最佳 White 月销 3751.2
242,LWP-32M-GY,LWP-32M-GY,Wall Plate,LWP-32M,Gray,Active,1,14.1,17.7,29.8,18.3,169.0,212.0,149.0,29,0,53.0,White,LWP-32M-W,1109.0,888.2,1187.1,1451.4,候选 Gray 全期月销 18.3；同型号最佳 White 月销 1109.0
243,LCS2-1P-GYSWP,"LCS2-1P-GYSWP, LCS2-1P-GYSWP2P",Combination Switch,LCS2-1P,Gray,Active,"1, 2",16.8,20.3,18.4,18.5,201.0,244.0,92.0,29,0,51.0,Black,LCS2-1P-BK,235.8,183.2,264.5,293.2,候选 Gray 全期月销 18.5；同型号最佳 Black 月销 235.8
244,LWP-21O-ABK,"LWP-21O-ABK, LWP-21O-ABK5P",Wall Plate,LWP-21O,Acrylic Black,Active,"1, 5",23.1,12.2,22.6,18.5,277.0,147.0,113.0,29,0,76.0,Acrylic Silver,LWP-21O-ASV,227.5,261.3,214.8,176.8,候选 Acrylic Black 全期月销 18.5；同型号最佳 Acrylic Silver 月销 227.5
245,LSWP-01M-NK,LSWP-01M-NK10P,Screwless Wall Plate,LSWP-01M,Nickel,Active,10,24.4,13.3,16.7,18.6,220.0,120.0,50.0,21,8,60.0,White,LSWP-01M-W,736.7,1066.2,547.2,400.6,候选 Nickel 全期月销 18.6；同型号最佳 White 月销 736.7
246,LSMWP-32M-PB,LSMWP-32M-PB,Metal Wall Plate,LSMWP-32M,Polished Brass,Active,1,26.1,12.7,15.0,18.6,313.0,152.0,75.0,29,0,37.0,Brushed Brass,LSMWP-32M-BB,61.8,40.9,79.0,66.4,候选 Polished Brass 全期月销 18.6；同型号最佳 Brushed Brass 月销 61.8
247,LSWP-32M-BSG,LSWP-32M-BSG,Screwless Wall Plate,LSWP-32M,Space Gray,Active,1,23.1,16.8,12.4,18.6,277.0,201.0,62.0,29,0,37.0,White,LSWP-32M-W,3751.2,3808.0,3425.7,4396.0,候选 Space Gray 全期月销 18.6；同型号最佳 White 月销 3751.2
248,LS15E-1P-BBKSBWP,LS15E-1P-BBKSBWP5P,Light Switch,LS15E-1P,Brushed Black,Active,5,20.0,21.7,11.0,18.7,40.0,260.0,55.0,19,10,55.0,Brushed Gold,LS15E-1P-BGD,577.2,0.0,390.5,726.6,候选 Brushed Black 全期月销 18.7；同型号最佳 Brushed Gold 月销 577.2
249,LMWP-14M-PB,LMWP-14M-PB,Metal Wall Plate,LMWP-14M,Polished Brass,Active,1,24.1,15.9,12.8,18.8,289.0,191.0,64.0,29,0,44.0,Brushed Brass,LMWP-14M-BB,39.4,24.6,48.1,54.2,候选 Polished Brass 全期月销 18.8；同型号最佳 Brushed Brass 月销 39.4
